Node Number	Equivalent Elastic Strain (mm/mm)
639	2,2984e-003
640	2,2984e-003
641	2,8409e-003
642	2,8387e-003
643	2,8387e-003
644	2,8409e-003
645	3,0941e-003
646	3,0906e-003
647	3,0906e-003
648	3,0941e-003
649	3,196e-003
650	3,1918e-003
651	3,1918e-003
652	3,196e-003
653	3,0008e-003
654	2,9978e-003
655	2,9978e-003
656	3,0008e-003
657	3,1988e-003
658	3,1946e-003
659	3,1946e-003
660	3,1988e-003
661	2,6946e-003
662	2,6931e-003
663	2,6931e-003
664	2,6946e-003
665	2,7626e-003
666	2,7608e-003
667	2,7608e-003
668	2,7626e-003
669	2,5512e-003
670	2,5503e-003
671	2,5503e-003
672	2,5512e-003
673	2,6224e-003
674	2,6212e-003
675	2,6212e-003
676	2,6224e-003
677	2,4821e-003
678	2,4815e-003
679	2,4815e-003
680	2,4821e-003
681	2,9318e-003
682	2,9291e-003
683	2,9291e-003
684	2,9318e-003
685	2,6811e-003
686	2,6796e-003
687	2,6796e-003
688	2,6811e-003
689	2,7599e-003
690	2,7581e-003
691	2,7581e-003
692	2,7599e-003
693	2,525e-003
694	2,5242e-003
695	2,5242e-003
696	2,525e-003
697	2,6016e-003
698	2,6005e-003
699	2,6005e-003
700	2,6016e-003
701	2,3955e-003
702	2,3952e-003
703	2,3952e-003
704	2,3955e-003
705	2,4555e-003
706	2,455e-003
707	2,455e-003
708	2,4555e-003
709	2,3127e-003
710	2,3127e-003
711	2,3127e-003
712	2,3127e-003
713	2,2972e-003
714	2,2972e-003
715	2,2972e-003
716	2,2972e-003
717	2,3018e-003
718	2,3017e-003
719	2,3017e-003
720	2,3018e-003
721	2,3444e-003
722	2,3442e-003
723	2,3442e-003
724	2,3444e-003
725	2,3116e-003
726	2,3115e-003
727	2,3115e-003
728	2,3116e-003
729	2,4539e-003
730	2,4534e-003
731	2,4534e-003
732	2,4539e-003
733	2,6012e-003
734	2,6001e-003
735	2,6001e-003
736	2,6012e-003
737	2,5238e-003
738	2,523e-003
739	2,523e-003
740	2,5238e-003
741	2,7622e-003
742	2,7604e-003
743	2,7604e-003
744	2,7622e-003
745	2,6826e-003
746	2,6812e-003
747	2,6812e-003
748	2,6826e-003
749	2,3599e-003
750	2,3597e-003
751	2,3597e-003
752	2,3599e-003
753	2,3181e-003
754	2,318e-003
755	2,318e-003
756	2,3181e-003
757	2,4902e-003
758	2,4895e-003
759	2,4895e-003
760	2,4902e-003
761	2,4232e-003
762	2,4228e-003
763	2,4228e-003
764	2,4232e-003
765	2,6415e-003
766	2,6402e-003
767	2,6402e-003
768	2,6415e-003
769	2,5631e-003
770	2,5621e-003
771	2,5621e-003
772	2,5631e-003
773	2,7195e-003
774	2,7178e-003
775	2,7178e-003
776	2,7195e-003
777	2,9299e-003
778	2,9273e-003
779	2,9273e-003
780	2,9299e-003
781	2,8658e-003
782	2,8635e-003
783	2,8635e-003
784	2,8658e-003
785	2,9945e-003
786	2,9916e-003
787	2,9916e-003
788	2,9945e-003
789	3,156e-003
790	3,1521e-003
791	3,1521e-003
792	3,156e-003
793	3,0603e-003
794	3,057e-003
795	3,057e-003
796	3,0603e-003
797	3,1096e-003
798	3,106e-003
799	3,106e-003
800	3,1096e-003
801	3,0698e-003
802	3,0663e-003
803	3,0663e-003
804	3,0698e-003
805	2,9835e-003
806	2,9804e-003
807	2,9804e-003
808	2,9835e-003
809	3,3016e-003
810	3,2966e-003
811	3,2966e-003
812	3,3016e-003
813	2,8573e-003
814	2,855e-003
815	2,855e-003
816	2,8573e-003
817	3,0307e-003
818	3,0275e-003
819	3,0275e-003
820	3,0307e-003
821	3,1439e-003
822	3,1401e-003
823	3,1401e-003
824	3,1439e-003
825	3,225e-003
826	3,2205e-003
827	3,2205e-003
828	3,225e-003
829	2,2895e-003
830	2,2895e-003
831	2,2895e-003
832	2,2895e-003
833	2,282e-003
834	2,2819e-003
835	2,2819e-003
836	2,282e-003
837	2,8661e-003
838	2,8637e-003
839	2,8637e-003
840	2,8661e-003
841	2,9755e-003
842	2,9726e-003
843	2,9726e-003
844	2,9755e-003
845	3,0923e-003
846	3,0886e-003
847	3,0886e-003
848	3,0923e-003
849	2,8976e-003
850	2,895e-003
851	2,895e-003
852	2,8976e-003
853	3,0981e-003
854	3,0944e-003
855	3,0944e-003
856	3,0981e-003
857	3,1759e-003
858	3,1718e-003
859	3,1718e-003
860	3,1759e-003
861	3,2507e-003
862	3,2462e-003
863	3,2462e-003
864	3,2507e-003
865	2,6963e-003
866	2,6948e-003
867	2,6948e-003
868	2,6963e-003
869	2,7711e-003
870	2,7693e-003
871	2,7693e-003
872	2,7711e-003
873	2,5415e-003
874	2,5406e-003
875	2,5406e-003
876	2,5415e-003
877	2,6177e-003
878	2,6165e-003
879	2,6165e-003
880	2,6177e-003
881	2,4044e-003
882	2,404e-003
883	2,404e-003
884	2,4044e-003
885	2,4688e-003
886	2,4682e-003
887	2,4682e-003
888	2,4688e-003
889	2,3115e-003
890	2,3115e-003
891	2,3115e-003
892	2,3115e-003
893	2,3511e-003
894	2,3509e-003
895	2,3509e-003
896	2,3511e-003
897	2,277e-003
898	2,277e-003
899	2,277e-003
900	2,277e-003
901	2,2858e-003
902	2,2858e-003
903	2,2858e-003
904	2,2858e-003
905	2,9699e-003
906	2,967e-003
907	2,967e-003
908	2,9699e-003
909	2,694e-003
910	2,6924e-003
911	2,6924e-003
912	2,694e-003
913	2,7781e-003
914	2,7761e-003
915	2,7761e-003
916	2,7781e-003
917	2,5298e-003
918	2,5289e-003
919	2,5289e-003
920	2,5298e-003
921	2,6103e-003
922	2,609e-003
923	2,609e-003
924	2,6103e-003
925	2,3973e-003
926	2,3969e-003
927	2,3969e-003
928	2,3973e-003
929	2,4578e-003
930	2,4572e-003
931	2,4572e-003
932	2,4578e-003
933	2,3206e-003
934	2,3204e-003
935	2,3204e-003
936	2,3206e-003
937	2,3229e-003
938	2,3227e-003
939	2,3227e-003
940	2,3229e-003
941	2,3116e-003
942	2,3115e-003
943	2,3115e-003
944	2,3116e-003
945	2,3515e-003
946	2,3511e-003
947	2,3511e-003
948	2,3515e-003
949	2,3094e-003
950	2,3093e-003
951	2,3093e-003
952	2,3094e-003
953	2,3486e-003
954	2,3484e-003
955	2,3484e-003
956	2,3486e-003
957	2,3188e-003
958	2,3187e-003
959	2,3187e-003
960	2,3188e-003
961	2,4569e-003
962	2,4563e-003
963	2,4563e-003
964	2,4569e-003
965	2,6099e-003
966	2,6087e-003
967	2,6087e-003
968	2,6099e-003
969	2,529e-003
970	2,5281e-003
971	2,5281e-003
972	2,529e-003
973	3,2243e-003
974	3,22e-003
975	3,22e-003
976	3,2243e-003
977	2,2943e-003
978	2,2942e-003
979	2,2942e-003
980	2,2943e-003
981	2,3631e-003
982	2,3628e-003
983	2,3628e-003
984	2,3631e-003
985	2,3202e-003
986	2,3201e-003
987	2,3201e-003
988	2,3202e-003
989	2,4204e-003
990	2,4199e-003
991	2,4199e-003
992	2,4204e-003
993	2,6472e-003
994	2,6458e-003
995	2,6458e-003
996	2,6472e-003
997	2,8147e-003
998	2,8126e-003
999	2,8126e-003
1000	2,8147e-003
1001	2,731e-003
1002	2,7292e-003
1003	2,7292e-003
1004	2,731e-003
1005	2,9701e-003
1006	2,9673e-003
1007	2,9673e-003
1008	2,9701e-003
1009	2,8959e-003
1010	2,8934e-003
1011	2,8934e-003
1012	2,8959e-003
1013	3,0622e-003
1014	3,0589e-003
1015	3,0589e-003
1016	3,0622e-003
1017	3,2886e-003
1018	3,2836e-003
1019	3,2836e-003
1020	3,2886e-003
1021	3,3449e-003
1022	3,3394e-003
1023	3,3394e-003
1024	3,3449e-003
1025	3,4227e-003
1026	3,4169e-003
1027	3,4169e-003
1028	3,4227e-003
1029	2,889e-003
1030	2,8864e-003
1031	2,8864e-003
1032	2,889e-003
1033	3,0939e-003
1034	3,0903e-003
1035	3,0903e-003
1036	3,0939e-003
1037	2,2976e-003
1038	2,2974e-003
1039	2,2974e-003
1040	2,2976e-003
1041	3,1618e-003
1042	3,1575e-003
1043	3,1575e-003
1044	3,1618e-003
1045	3,0157e-003
1046	3,0123e-003
1047	3,0123e-003
1048	3,0157e-003
1049	2,9431e-003
1050	2,9402e-003
1051	2,9402e-003
1052	2,9431e-003
1053	3,1541e-003
1054	3,15e-003
1055	3,15e-003
1056	3,1541e-003
1057	3,2747e-003
1058	3,27e-003
1059	3,27e-003
1060	3,2747e-003
1061	3,335e-003
1062	3,3298e-003
1063	3,3298e-003
1064	3,335e-003
1065	2,7061e-003
1066	2,7045e-003
1067	2,7045e-003
1068	2,7061e-003
1069	2,7878e-003
1070	2,7858e-003
1071	2,7858e-003
1072	2,7878e-003
1073	2,4013e-003
