Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent (von-Mises) Stress (MPa)
2242	17,461	1,8354	-0,11647	25,757
2243	6,4568	3,9252	-0,11647	13,913
2243	6,4568	3,9252	-0,11647	13,913
2244	11,613	1,8359	-0,11647	17,346
2244	11,613	1,8359	-0,11647	17,346
2245	11,682	0,70523	-0,11647	17,543
2245	11,682	0,70523	-0,11647	17,543
2246	-7,0567	-3,7243	-0,11647	14,228
2246	-7,0567	-3,7243	-0,11647	14,228
2247	-12,005	-1,1322	-0,11647	17,857
2247	-12,005	-1,1322	-0,11647	17,857
2248	-11,963	1,1356	-0,11647	17,789
2248	-11,963	1,1356	-0,11647	17,789
2249	3,9398	2,1082	-0,11647	13,53
2249	3,9398	2,1082	-0,11647	13,53
2250	3,1503	1,3741	-0,11647	13,457
2250	3,1503	1,3741	-0,11647	13,457
2251	4,6773	-3,9176	-0,11647	13,463
2251	4,6773	-3,9176	-0,11647	13,463
2252	-4,1644	-2,0601	-0,11647	13,582
2252	-4,1644	-2,0601	-0,11647	13,582
2253	-3,4083	-1,2103	-0,11647	13,507
2253	-3,4083	-1,2103	-0,11647	13,507
2254	-24,443	6,4819	-0,11647	38,898
2254	-24,443	6,4819	-0,11647	38,898
2255	-25,138	6,5707	-0,11647	39,109
2255	-25,138	6,5707	-0,11647	39,109
2256	-18,088	1,5993	-0,11647	27,152
2256	-18,088	1,5993	-0,11647	27,152
2257	-17,92	2,4797	-0,11647	26,589
2257	-17,92	2,4797	-0,11647	26,589
2258	1,5582	-37,72	-0,11647	52,799
2258	1,5582	-37,72	-0,11647	52,799
2259	-18,151	-1,9049	-0,11647	27,259
2259	-18,151	-1,9049	-0,11647	27,259
2260	-2,691	40,017	-0,11647	46,88
2260	-2,691	40,017	-0,11647	46,88
2261	19,422	-0,47654	-0,11647	29,321
2261	19,422	-0,47654	-0,11647	29,321
2262	23,531	-5,4698	-0,11647	47,326
2262	23,531	-5,4698	-0,11647	47,326
2263	-23,983	5,3311	-0,11647	48,696
2263	-23,983	5,3311	-0,11647	48,696
2264	-19,185	0,78257	-0,11647	29,255
2264	-19,185	0,78257	-0,11647	29,255
2265	2,4205	-39,741	-0,11647	63,122
2265	2,4205	-39,741	-0,11647	63,122
2266	-7,4808	3,9962	-0,11647	14,336
2266	-7,4808	3,9962	-0,11647	14,336
2267	7,3654	-3,7153	-0,11647	14,394
2267	7,3654	-3,7153	-0,11647	14,394
2268	-23,895	-8,2025	-0,11647	30,346
2268	-23,895	-8,2025	-0,11647	30,346
2269	-23,111	-5,5081	-0,11647	44,35
2269	-23,111	-5,5081	-0,11647	44,35
2270	-23,068	5,0878	-0,11647	45,734
2270	-23,068	5,0878	-0,11647	45,734
2271	3,1041	40,17	-0,11647	49,603
2271	3,1041	40,17	-0,11647	49,603
2272	-3,4961	40,549	-0,11647	53,598
2272	-3,4961	40,549	-0,11647	53,598
2273	-3,4398	-40,601	-0,11647	60,034
2273	-3,4398	-40,601	-0,11647	60,034
2274	3,2199	-40,294	-0,11647	60,596
2274	3,2199	-40,294	-0,11647	60,596
2275	22,642	-5,1721	-0,11647	43,887
2275	22,642	-5,1721	-0,11647	43,887
2276	22,7	5,09	-0,11647	42,991
2276	22,7	5,09	-0,11647	42,991
2277	19,442	0,42214	-0,11647	29,368
2277	19,442	0,42214	-0,11647	29,368
2278	5,0513	-46,445	-0,11647	19,433
2278	5,0513	-46,445	-0,11647	19,433
2279	-9,1051	3,232	-0,11647	15,288
2279	-9,1051	3,232	-0,11647	15,288
2280	-19,286	-5,0997	-0,11647	28,421
2280	-19,286	-5,0997	-0,11647	28,421
2281	-21,851	-6,0751	-0,11647	34,931
2281	-21,851	-6,0751	-0,11647	34,931
2282	-23,551	-6,8306	-0,11647	36,406
2282	-23,551	-6,8306	-0,11647	36,406
2283	-7,5223	-40,779	-0,11647	29,848
2283	-7,5223	-40,779	-0,11647	29,848
2284	-7,9313	-39,793	-0,11647	29,384
2284	-7,9313	-39,793	-0,11647	29,384
2285	-8,3468	-38,81	-0,11647	28,696
2285	-8,3468	-38,81	-0,11647	28,696
2286	-8,8467	-37,833	-0,11647	27,827
2286	-8,8467	-37,833	-0,11647	27,827
2287	-9,3862	-36,872	-0,11647	26,784
2287	-9,3862	-36,872	-0,11647	26,784
2288	-9,9089	-35,911	-0,11647	25,749
2288	-9,9089	-35,911	-0,11647	25,749
2289	-10,431	-34,947	-0,11647	24,769
2289	-10,431	-34,947	-0,11647	24,769
2290	-10,955	-33,98	-0,11647	23,831
2290	-10,955	-33,98	-0,11647	23,831
2291	-11,482	-33,021	-0,11647	22,942
2291	-11,482	-33,021	-0,11647	22,942
2292	-12,008	-32,047	-0,11647	22,1
2292	-12,008	-32,047	-0,11647	22,1
2293	-12,535	-31,071	-0,11647	21,307
2293	-12,535	-31,071	-0,11647	21,307
2294	-13,064	-30,097	-0,11647	20,57
2294	-13,064	-30,097	-0,11647	20,57
2295	-13,591	-29,127	-0,11647	19,891
2295	-13,591	-29,127	-0,11647	19,891
2296	-14,117	-28,16	-0,11647	19,272
2296	-14,117	-28,16	-0,11647	19,272
2297	-14,641	-27,196	-0,11647	18,715
2297	-14,641	-27,196	-0,11647	18,715
2298	-15,164	-26,237	-0,11647	18,222
2298	-15,164	-26,237	-0,11647	18,222
2299	-15,683	-25,284	-0,11647	17,796
2299	-15,683	-25,284	-0,11647	17,796
2300	-16,2	-24,335	-0,11647	17,438
2300	-16,2	-24,335	-0,11647	17,438
2301	-16,714	-23,391	-0,11647	17,151
2301	-16,714	-23,391	-0,11647	17,151
2302	-17,226	-22,453	-0,11647	16,938
2302	-17,226	-22,453	-0,11647	16,938
2303	-17,736	-21,518	-0,11647	16,801
2303	-17,736	-21,518	-0,11647	16,801
2304	-18,243	-20,589	-0,11647	16,745
2304	-18,243	-20,589	-0,11647	16,745
2305	-19,248	-18,739	-0,11647	16,891
2305	-19,248	-18,739	-0,11647	16,891
2306	-19,749	-17,818	-0,11647	17,107
2306	-19,749	-17,818	-0,11647	17,107
2307	-20,248	-16,901	-0,11647	17,426
2307	-20,248	-16,901	-0,11647	17,426
2308	-20,745	-15,987	-0,11647	17,86
2308	-20,745	-15,987	-0,11647	17,86
2309	-21,241	-15,074	-0,11647	18,422
2309	-21,241	-15,074	-0,11647	18,422
2310	-21,736	-14,163	-0,11647	19,128
2310	-21,736	-14,163	-0,11647	19,128
2311	-22,24	-13,246	-0,11647	20,014
2311	-22,24	-13,246	-0,11647	20,014
2312	-22,729	-12,317	-0,11647	21,12
2312	-22,729	-12,317	-0,11647	21,12
2313	-23,19	-11,393	-0,11647	22,464
2313	-23,19	-11,393	-0,11647	22,464
2314	-23,665	-10,484	-0,11647	24,107
2314	-23,665	-10,484	-0,11647	24,107
2315	-24,19	-9,5766	-0,11647	26,195
2315	-24,19	-9,5766	-0,11647	26,195
2316	-24,723	-8,6396	-0,11647	28,975
2316	-24,723	-8,6396	-0,11647	28,975
2317	-21,825	5,7747	-0,11647	35,336
2317	-21,825	5,7747	-0,11647	35,336
2318	-19,206	4,8621	-0,11647	28,172
2318	-19,206	4,8621	-0,11647	28,172
2319	6,5142	41,376	-0,11647	46,703
2319	6,5142	41,376	-0,11647	46,703
2320	4,3783	39,966	-0,11647	48,865
2320	4,3783	39,966	-0,11647	48,865
2321	-2,5728	38,773	-0,11647	41,106
2321	-2,5728	38,773	-0,11647	41,106
2322	2,9644	38,869	-0,11647	42,112
2322	2,9644	38,869	-0,11647	42,112
2323	0,8294	37,034	-0,11647	34,799
2323	0,8294	37,034	-0,11647	34,799
2324	-4,748	40,219	-0,11647	49,449
2324	-4,748	40,219	-0,11647	49,449
2325	-25,362	7,3975	-0,11647	33,296
2325	-25,362	7,3975	-0,11647	33,296
2326	-24,752	8,413	-0,11647	28,93
2326	-24,752	8,413	-0,11647	28,93
2327	-24,19	9,3281	-0,11647	26,178
2327	-24,19	9,3281	-0,11647	26,178
2328	-23,702	10,235	-0,11647	24,155
2328	-23,702	10,235	-0,11647	24,155
2329	-22,242	12,919	-0,11647	20,144
2329	-22,242	12,919	-0,11647	20,144
2330	-21,758	13,82	-0,11647	19,266
2330	-21,758	13,82	-0,11647	19,266
2331	-21,271	14,724	-0,11647	18,558
2331	-21,271	14,724	-0,11647	18,558
2332	-20,784	15,631	-0,11647	17,996
2332	-20,784	15,631	-0,11647	17,996
2333	-20,294	16,541	-0,11647	17,565
2333	-20,294	16,541	-0,11647	17,565
2334	-19,801	17,453	-0,11647	17,251
2334	-19,801	17,453	-0,11647	17,251
2335	-19,305	18,371	-0,11647	17,046
2335	-19,305	18,371	-0,11647	17,046
2336	-18,808	19,291	-0,11647	16,941
2336	-18,808	19,291	-0,11647	16,941
2337	-18,308	20,216	-0,11647	16,932
2337	-18,308	20,216	-0,11647	16,932
2338	-17,805	21,144	-0,11647	17,012
2338	-17,805	21,144	-0,11647	17,012
2339	-17,3	22,078	-0,11647	17,18
